C/C,N/C,O/C,S/C,C/N,N/N,O/N,S/N,C/O,N/O,O/O,S/O,C/S,N/S,O/S,S/S,C/P,N/P,O/P,S/P,C/F,N/F,O/F,S/F,C/Cl,N/Cl,O/Cl,S/Cl,C/Br,N/Br,O/Br,S/Br,C/I,N/I,O/I,S/I,gauss1(inter),gauss2(inter),repulsion(inter),hydrophobic(inter),Hydrogen(inter)
1179.0000,276.0000,325.0000,23.0000,643.0000,139.0000,162.0000,11.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.8312,517.2429,0.6213,20.1716,1.4723
1580.0000,358.0000,408.0000,27.0000,595.0000,142.0000,162.0000,11.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224.0000,47.0000,55.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.4697,664.1578,0.8969,38.2373,0.4295
3014.0000,674.0000,784.0000,51.0000,966.0000,224.0000,259.0000,18.0000,145.0000,31.0000,34.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.2894,1038.4451,1.0445,38.0581,1.3843
3380.0000,780.0000,911.0000,60.0000,808.0000,183.0000,213.0000,14.0000,354.0000,85.0000,98.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,79.7331,1168.0901,2.4864,51.8570,1.2620
4003.0000,914.0000,1026.0000,65.0000,951.0000,223.0000,251.0000,17.0000,184.0000,42.0000,45.0000,2.0000,198.0000,49.0000,57.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,218.0000,52.0000,57.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,135.3213,1718.6926,2.7726,59.2160,1.1730
2145.0000,512.0000,802.0000,0.0000,564.0000,124.0000,190.0000,0.0000,146.0000,32.0000,54.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.3785,903.8392,2.9239,40.3691,3.3757
4262.0000,986.0000,1598.0000,0.0000,479.0000,113.0000,176.0000,0.0000,310.0000,66.0000,113.0000,0.0000,151.0000,35.0000,53.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,112.4790,1574.9810,2.7036,59.8769,3.0489
6073.0000,1455.0000,2267.0000,0.0000,954.0000,214.0000,334.0000,0.0000,785.0000,182.0000,290.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,132.3584,2282.5657,4.8764,87.9904,6.9050
5814.0000,1355.0000,2166.0000,0.0000,902.0000,199.0000,327.0000,0.0000,822.0000,187.0000,297.0000,0.0000,322.0000,75.0000,121.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,135.2693,2331.7556,5.6289,62.5858,6.2767
6112.0000,1415.0000,2268.0000,0.0000,1572.0000,356.0000,553.0000,1.0000,1177.0000,258.0000,437.0000,0.0000,138.0000,34.0000,55.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.2822,2532.1294,3.9428,44.9425,5.2505
3139.0000,691.0000,745.0000,70.0000,989.0000,219.0000,247.0000,24.0000,599.0000,124.0000,134.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,123.3006,1536.5181,5.0238,49.0142,5.5670
2314.0000,637.0000,687.0000,30.0000,846.0000,222.0000,236.0000,13.0000,319.0000,81.0000,94.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,79.3124,1065.3158,2.9360,17.8345,3.4778
3449.0000,945.0000,1005.0000,61.0000,680.0000,181.0000,193.0000,12.0000,243.0000,71.0000,76.0000,3.0000,317.0000,87.0000,90.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,83.4166,1406.6886,3.1092,50.1076,1.9225
2864.0000,727.0000,810.0000,69.0000,660.0000,165.0000,178.0000,11.0000,265.0000,76.0000,85.0000,8.0000,75.0000,22.0000,22.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,81.3256,1201.7825,4.1517,56.5851,2.2267
3647.0000,953.0000,1012.0000,54.0000,836.0000,224.0000,240.0000,11.0000,423.0000,112.0000,121.0000,6.0000,111.0000,30.0000,33.0000,2.0000,0.0000,0.0000,0.0000,0.0000,415.0000,99.0000,104.0000,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,108.1382,1737.6652,2.4962,85.6862,1.0513
1693.0000,480.0000,545.0000,43.0000,506.0000,151.0000,162.0000,13.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.4274,753.1176,1.0779,8.3655,0.9270
4214.0000,1243.0000,1298.0000,106.0000,823.0000,244.0000,257.0000,19.0000,507.0000,167.0000,151.0000,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,110.0865,1833.2264,3.8219,26.2234,4.9237
