C/C,N/C,O/C,S/C,C/N,N/N,O/N,S/N,C/O,N/O,O/O,S/O,C/S,N/S,O/S,S/S,C/P,N/P,O/P,S/P,C/F,N/F,O/F,S/F,C/Cl,N/Cl,O/Cl,S/Cl,C/Br,N/Br,O/Br,S/Br,C/I,N/I,O/I,S/I,gauss1(inter),gauss2(inter),repulsion(inter),hydrophobic(inter),Hydrogen(inter)
931.0000,261.0000,244.0000,14.0000,213.0000,59.0000,52.0000,4.0000,135.0000,38.0000,31.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.0211,434.9000,1.0023,17.1603,1.0415
762.0000,262.0000,262.0000,20.0000,0.0000,0.0000,0.0000,0.0000,2050.0000,692.0000,684.0000,39.0000,0.0000,0.0000,0.0000,0.0000,431.0000,144.0000,144.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.8639,906.5493,4.5499,0.0000,7.2112
966.0000,313.0000,394.0000,9.0000,1001.0000,308.0000,396.0000,9.0000,147.0000,47.0000,51.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.4545,708.9071,4.5607,10.1219,6.0178
1799.0000,509.0000,472.0000,13.0000,0.0000,0.0000,0.0000,0.0000,615.0000,182.0000,167.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.9992,768.0589,5.7005,31.0116,2.3437
886.0000,232.0000,262.0000,3.0000,326.0000,85.0000,97.0000,0.0000,327.0000,85.0000,101.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.1273,441.7413,0.7182,9.3798,1.3867
1450.0000,369.0000,433.0000,4.0000,322.0000,89.0000,94.0000,0.0000,651.0000,172.0000,204.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.5657,716.8882,1.1588,11.9589,1.4611
1505.0000,438.0000,557.0000,1.0000,221.0000,63.0000,85.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.1674,561.8130,2.2081,31.7784,0.0000
997.0000,322.0000,312.0000,30.0000,617.0000,199.0000,181.0000,15.0000,398.0000,121.0000,112.0000,15.0000,0.0000,0.0000,0.0000,0.0000,36.0000,10.0000,7.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,78.9950,617.5154,2.8883,0.0000,1.6704
2345.0000,662.0000,740.0000,21.0000,434.0000,116.0000,132.0000,2.0000,1724.0000,471.0000,522.0000,16.0000,0.0000,0.0000,0.0000,0.0000,233.0000,57.0000,64.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,113.7690,1481.0808,8.9302,4.1173,7.6238
1637.0000,587.0000,593.0000,14.0000,244.0000,90.0000,90.0000,1.0000,386.0000,137.0000,138.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.3223,960.9037,2.6590,4.1892,3.1083
1252.0000,407.0000,355.0000,5.0000,0.0000,0.0000,0.0000,0.0000,1463.0000,472.0000,401.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.8912,930.3850,4.2744,3.9631,7.2959
1305.0000,355.0000,318.0000,7.0000,223.0000,62.0000,52.0000,1.0000,0.0000,0.0000,0.0000,0.0000,247.0000,67.0000,61.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.1070,481.6160,1.6294,17.7480,0.0000
1111.0000,289.0000,274.0000,21.0000,233.0000,57.0000,57.0000,4.0000,435.0000,116.0000,107.0000,8.0000,115.0000,29.0000,26.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.7666,713.2570,1.4400,7.6353,2.2145
630.0000,175.0000,184.0000,3.0000,0.0000,0.0000,0.0000,0.0000,1379.0000,384.0000,399.0000,7.0000,0.0000,0.0000,0.0000,0.0000,179.0000,51.0000,50.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0281,726.1373,5.9705,0.0000,5.2023
1566.0000,339.0000,412.0000,21.0000,290.0000,66.0000,76.0000,3.0000,202.0000,47.0000,54.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.9601,654.0023,0.7554,30.0843,1.0090
3545.0000,884.0000,1014.0000,22.0000,820.0000,203.0000,235.0000,5.0000,983.0000,223.0000,291.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,94.6048,1295.1938,4.9487,42.4195,5.1446
1611.0000,514.0000,482.0000,5.0000,141.0000,44.0000,47.0000,1.0000,584.0000,180.0000,172.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8079,748.6750,3.3857,37.2826,0.9613
1163.0000,259.0000,439.0000,0.0000,525.0000,118.0000,192.0000,0.0000,314.0000,64.0000,120.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.1682,622.0731,2.3175,1.1947,1.7672
1831.0000,431.0000,515.0000,14.0000,703.0000,162.0000,197.0000,5.0000,919.0000,196.0000,254.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.7751,875.9948,3.9805,9.4344,6.4383
1076.0000,296.0000,347.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1103.0000,304.0000,347.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.8169,695.4985,5.1565,0.0000,7.4710
2151.0000,570.0000,553.0000,0.0000,0.0000,0.0000,0.0000,0.0000,792.0000,210.0000,211.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.1660,974.2462,3.6790,26.5940,0.2585
